0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.01,-0.00
0.01,-0.00
0.01,-0.00
0.01,-0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.00,0.01
0.00,0.01
0.00,0.01
0.00,0.01
0.00,0.01
-0.00,0.01
-0.00,0.01
-0.00,0.01
-0.01,0.01
-0.01,0.00
-0.01,0.00
-0.01,0.00
-0.01,0.00
-0.01,0.00
-0.01,0.00
-0.01,-0.00
-0.01,-0.00
-0.01,-0.00
-0.01,-0.00
-0.01,-0.00
-0.01,-0.01
-0.01,-0.01
-0.01,-0.01
-0.01,-0.01
-0.01,-0.01
-0.01,-0.01
-0.00,-0.01
-0.00,-0.01
-0.00,-0.01
0.00,-0.01
0.01,-0.01
0.01,-0.01
0.01,-0.01
0.01,-0.01
0.01,-0.00
0.01,-0.00
0.01,-0.00
0.01,-0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.00,0.00
0.00,0.00
0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,0.00
-0.00,-0.00
-0.00,-0.00
-0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,-0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.01,0.00
0.01,0.00
0.01,0.00
0.02,0.00
0.02,0.00
0.02,0.00
0.03,0.00
0.03,0.00
0.04,0.01
0.05,0.01
0.05,0.01
0.06,0.01
0.06,0.02
0.07,0.02
0.07,0.02
0.08,0.03
0.09,0.03
0.09,0.03
0.09,0.04
0.10,0.04
0.11,0.05
0.11,0.05
0.11,0.05
0.12,0.06
0.12,0.06
0.12,0.07
0.12,0.07
0.13,0.08
0.13,0.08
0.13,0.08
0.13,0.09
0.13,0.09
0.13,0.10
0.14,0.10
0.14,0.10
0.14,0.10
0.14,0.11
0.14,0.11
0.14,0.11
0.14,0.11
0.15,0.12
0.15,0.12
0.15,0.12
0.14,0.12
0.14,0.13
0.15,0.13
0.15,0.13
0.15,0.13
0.14,0.13
0.14,0.13
0.14,0.13
0.14,0.13
0.13,0.14
0.13,0.14
0.11,0.14
0.10,0.14
0.10,0.14
0.10,0.13
0.10,0.13
0.09,0.13
0.09,0.13
0.08,0.12
0.07,0.12
0.07,0.12
0.06,0.11
0.06,0.11
0.06,0.11
0.06,0.10
0.06,0.10
0.06,0.09
0.06,0.09
0.06,0.09
0.06,0.08
0.07,0.08
0.07,0.08
0.07,0.08
0.08,0.08
0.08,0.08
0.09,0.07
0.10,0.07
0.10,0.07
0.10,0.08
0.11,0.08
0.11,0.08
0.11,0.08
0.11,0.08
0.10,0.09
0.10,0.09
0.10,0.09
0.09,0.09
0.09,0.09
0.08,0.09
0.08,0.09
0.08,0.09
0.07,0.09
0.07,0.09
0.07,0.09
0.06,0.09
0.06,0.09
0.06,0.08
0.06,0.08
0.06,0.08
0.06,0.08
0.06,0.08
0.07,0.07
0.07,0.07
0.07,0.07
0.07,0.07
0.08,0.07
0.08,0.07
0.09,0.07
0.09,0.07
0.10,0.07
0.11,0.07
0.11,0.07
0.13,0.07
0.14,0.08
0.15,0.08
0.15,0.08
0.16,0.09
0.17,0.09
0.17,0.10
0.18,0.10
0.18,0.11
0.19,0.11
0.20,0.12
0.20,0.13
0.20,0.13
0.21,0.14
0.21,0.14
0.21,0.15
0.21,0.15
0.21,0.16
0.21,0.16
0.20,0.17
0.20,0.17
0.20,0.18
0.19,0.18
0.19,0.18
0.19,0.18
0.18,0.18
0.18,0.18
0.17,0.18
0.16,0.18
0.16,0.18
0.15,0.18
0.14,0.18
0.14,0.18
0.13,0.18
0.13,0.17
0.12,0.17
0.12,0.17
0.11,0.16
0.11,0.16
0.11,0.15
0.11,0.15
0.11,0.15
0.11,0.14
0.11,0.14
0.11,0.14
0.11,0.13
0.11,0.13
0.11,0.13
0.11,0.13
0.12,0.12
0.12,0.12
0.13,0.12
0.13,0.12
0.14,0.12
0.15,0.12
0.16,0.12
0.17,0.12
0.18,0.12
0.19,0.13
0.20,0.13
0.21,0.13
0.21,0.14
0.22,0.14
0.23,0.15
0.23,0.15
0.24,0.16
0.24,0.17
0.24,0.17
0.23,0.18
0.23,0.18
0.23,0.19
0.22,0.19
0.21,0.20
0.20,0.20
0.19,0.20
0.18,0.20
0.16,0.20
0.16,0.20
0.14,0.20
0.13,0.20
0.13,0.19
0.11,0.19
0.10,0.18
0.10,0.18
0.09,0.17
0.08,0.17
0.07,0.16
0.07,0.15
0.07,0.15
0.07,0.14
0.07,0.13
0.07,0.13
0.07,0.12
0.08,0.11
0.09,0.11
0.10,0.11
0.11,0.10
0.12,0.10
0.13,0.10
0.13,0.10
0.14,0.10
0.14,0.10
0.15,0.11
0.15,0.11
0.15,0.11
0.15,0.12
0.15,0.12
0.15,0.12
0.14,0.12
0.14,0.13
0.13,0.13
0.12,0.13
0.11,0.13
0.10,0.13
0.09,0.13
0.09,0.13
0.08,0.13
0.07,0.12
0.06,0.12
0.06,0.12
0.06,0.11
0.06,0.11
0.06,0.10
0.06,0.10
0.06,0.10
0.07,0.09
0.08,0.09
0.08,0.09
0.09,0.08
0.10,0.08
0.10,0.08
0.12,0.08
0.13,0.08
0.14,0.08
0.15,0.09
0.16,0.09
0.17,0.09
0.18,0.10
0.18,0.10
0.19,0.11
0.20,0.11
0.20,0.12
0.21,0.13
0.21,0.13
0.20,0.14
0.18,0.15
0.18,0.15
0.18,0.16
0.19,0.16
0.19,0.16
0.19,0.16
0.19,0.16
0.18,0.16
0.17,0.17
0.17,0.17
0.16,0.17
0.15,0.17
0.15,0.17
0.14,0.17
0.14,0.17
0.13,0.17
0.13,0.17
0.12,0.16
0.12,0.16
0.11,0.16
0.11,0.15
0.11,0.15
0.11,0.15
0.11,0.14
0.11,0.14
0.10,0.14
0.10,0.13
0.10,0.13
0.11,0.13
0.11,0.13
0.11,0.12
0.12,0.12
0.12,0.12
0.13,0.12
0.13,0.12
0.14,0.12
0.14,0.12
0.15,0.12
0.15,0.12
0.16,0.12
0.16,0.12
0.17,0.13
0.17,0.13
0.18,0.13
0.18,0.13
0.18,0.14
0.18,0.14
0.19,0.14
0.19,0.15
0.19,0.15
0.20,0.15
0.21,0.16
0.21,0.16
0.21,0.16
0.22,0.17
0.22,0.17
0.22,0.17
0.22,0.18
0.23,0.18
0.23,0.19
0.23,0.19
0.22,0.19
0.22,0.20
0.22,0.20
0.21,0.20
0.21,0.20
0.20,0.20
0.20,0.20
0.20,0.20
0.21,0.20
0.21,0.20
0.22,0.20
0.23,0.20
0.24,0.20
0.25,0.20
0.25,0.20
0.26,0.21
0.27,0.21
0.27,0.21
0.28,0.22
0.29,0.22
0.29,0.23
0.30,0.23
0.31,0.24
0.31,0.24
0.32,0.24
0.32,0.25
0.33,0.25
0.33,0.26
0.33,0.27
0.33,0.27
0.33,0.28
0.33,0.28
0.33,0.29
0.33,0.29
